Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
2014,23,OAK,QB,4,16,16,3-13-0,348,599,58.1,3270,21,3.5,12,2.0,163,77,5.5,5.3,9.4,204.4,76.6,40.1,24,149,5.01,4.82,3.9,1,1,5
2015*,24,OAK,QB,4,16,16,7-9-0,350,573,61.1,3987,32,5.6,13,2.3,188,68,7.0,7.1,11.4,249.2,91.1,41.2,31,230,6.22,6.31,5.1,4,4,13
2016*,25,OAK,QB,4,15,15,12-3-0,357,560,63.8,3937,28,5.0,6,1.1,191,75,7.0,7.5,11.0,262.5,96.7,54.6,16,79,6.70,7.20,2.8,7,7,12
2017*,26,OAK,QB,4,15,15,6-9-0,323,515,62.7,3496,22,4.3,13,2.5,168,87,6.8,6.5,10.8,233.1,86.4,51.0,20,101,6.35,6.07,3.7,1,1,10
2018,27,OAK,QB,4,16,16,4-12-0,381,553,68.9,4049,19,3.4,10,1.8,197,66,7.3,7.2,10.6,253.1,93.9,46.9,51,299,6.21,6.09,8.4,3,3,10
2019,28,OAK,QB,4,16,16,7-9-0,361,513,70.4,4054,21,4.1,8,1.6,191,75,7.9,8.0,11.2,253.4,100.8,,29,184,7.14,7.25,5.4,2,3,11
Career,Career,,,,94,94,39-55-0,2120,3313,64.0,22793,143,4.3,62,1.9,1098,87,6.9,6.9,10.8,242.5,90.7,,171,1042,6.24,6.26,4.9,18,19,61
